rus,o'zbek,inglizcha
успокоиться,tinchlashmoq / xotirjam bo'lmoq,to be quieted
забывать,unutib qo'ymoq,to forget
корпус,korpus / imorat,body frame / building
останавливаться,to'xtаmoq,to stop
захватить,egallamoq / qo'lga olmoq,to capture / to grasp
близко,yaqin / yaqinda,closely
окончательно,butunlay / nihoyat,conclusively
удивительный,ajoyib / hayratlanarli,surprising / amazing
волноваться,tashvishlanmoq / xavotirlanmoq,to worry
забор,to'siq / devor,fence
октябрь,oktyabr,October
морда,tumshug' / aft,snout
прожить,yashab o'tmoq,to live
редко,kamdan-kam / siyrak,rarely
изменить,o'zgartirmoq,to change
краска,bo'yoq,paint
темно,qorong'i,dark / gloomy
спорить,bahslashmoq / tortishuv,to argue
кружок,to'garak / aylana,circle
состояться,bo'lib o'tmoq,to take place
могила,qabr,grave
приводить,olib kelmoq,to bring
облако,bulut,cloud
шкаф,shkаf / javon,cabinet
варить,qaynatmoq / pishirmoq,to cook / to boil
сумма,summa / miqdor,sum
святой,muqaddas / aziz,saint
сеть,to'r / tarmoq,network / netting
грех,gunoh,sin
помолчать,jim turmoq,to be silent
ожидание,kutish / intizor bo'lish,expectation
необходимость,zaruriyat / ehtiyoj,need
инспектор,inspektor,inspector
сообщение,xabar / ma'lumot,message / information
стенка,devоr,wall
подъезд,kirish / podyezd,porch / entrance
слышно,eshitiladi / ayon,audibly
напомнить,eslatmoq,to resemble / to remind
парк,park,park
физический,jismoniy / fizikaviý,physical
вокзал,vokzal / temir yo'l stantsiyasi,railway station
несчастный,baxtsiz / muhtoj,unhappy
орать,baqirmoq,to yell
глухой,kar / og'ir eshituv,deaf
бороться,kurashmoq,to fight
дойти,yetib bormoq,to reach / to come to
включить,ulаmoq / qo'shmoq,to include / to switch on
борт,yon / kema yoni,board / side (of the ship)
сумасшедший,aqldan ozgan / jinni,mad
интересовать,qiziqtirmoq,to interest
умирать,o'lmoq / vafot etmoq,to die
убитый,o'ldirilgan / nobud,killed
взрыв,portlash,explosion
особенный,alohida / maxsus,special
еле,zo'rg'a / qiyin bilan,hardly
расстояние,masofa,distance
локоть,tirsak,elbow
актёр,aktyor,actor
усы,mo'ylov,moustache
прибыть,yetib kelmoq,to arrive
куртka,kurtka / kurtа,jacket
заставлять,majbur qilmoq,to force
соответствующий,mos / tegishli,appropriate
частный,xususiy / shaxsiy,private
официальный,rasmiy,official
луна,oy,moon
скала,qoya / tosh,cliff
экономика,iqtisod,economy
мужской,erkaklar (sifat),male / masculine
подтвердить,tasdiqlаmoq,to confirm
тянуться,cho'zilmoq,to be pulled
обыкновенный,oddiy / kundalik,usual
буквально,tom ma'noda / aynan,literally
испугаться,qo'rqib ketmoq,to frighten
пожилой,keksaygan / qari,elderly
резкий,keskin / to'satdan,sharp / harsh / keen
лёд,muz,ice
волк,bo'ri,wolf
структура,tuzilma / struktura,structure
сержант,sergeant,sergeant
совершить,amalga oshirmoq,to accomplish / to commit
съесть,yeb qo'ymoq,to eat
клетка,qafas,cage / cell
поколение,avlod,generation
газ,gaz,fume / gas
значительный,muhim / sezilarli,significant
файл,fayl,file
орудие,qurol / asbob,instrument
коллега,hamkasb,colleague / associate
запомнить,yodlab olmoq,to memorize
просьба,iltimos / so'rov,request
согласный,rozi / rozilik bildiruvchi,agreeable
выбор,tanlov / iroda,selection
седой,oqargan soch / oq sochli,grey
куча,to'da / uyum,heap / pile
корень,ildiz,root
блестящий,yashnab turgan / yorqin,shining
содержание,mazmun / tarkib,content
разница,farq,difference
непонятный,noaniq / tushunarsiz,incomprehensible
остаток,qoldiq,remainder
расчёт,hisoblash,calculation
приближаться,yaqinlashmoq,to approach
чисто,toza,cleanly
участвовать,ishtirok etmoq,to participate
восточный,sharqiy,eastern
ловить,ushlаmoq / tutmoq,to catch
температура,temperatura / harorat,temperature
республика,respublika,republic
пояс,bel / kamar,belt
удивляться,hayron qolmoq,to be surprised
сомневаться,shubhalanmoq,to doubt
шёпот,shivirla / pichirla,whisper
сентябрь,sentabr,September
дивизия,diviziya,division (military)
гриб,qo'ziqorin,mushroom / fungus
сравнение,taqqoslash,comparison
строгий,qat'iy / talabchan,strict
замереть,qotib qolmoq / jim bo'lib qolmoq,to stand still
бабка,buvi / kampir,grandmother
гражданский,fuqarolik (sifat) / tinch,civil
записать,yozib olmoq,to write down
реакция,reaksiya / javob,reaction
тоска,qayg'u / sog'inch,melancholy
посёлок,qishloq / ko'y,settlement
полчаса,yarim soat,half-hour
кольцо,halqa / uzuk,ring
достоинство,qadr / martaba,dignity / merit
двенадцать,o'n ikki,twelve
радоваться,xursand bo'lmoq / sevinmoq,to be glad
вывести,chiqarmoq / hosil qilmoq,to derive
создавать,yaratmoq,to create
слой,qatlam,layer
подарить,tortiq qilmoq / sovg'a bermoq,to present / to give away
оттого,shuning uchun,that is why
страсть,ishtiyoq / g'ayrat,passion
ровно,aynan / teng,exactly / precisely
напряжение,taranglik / kuchlanish,stress
стыдный,uyatli / sharmandalik,shameful
коммунист,kommunist,communist
глянуть,bir qarab qo'ymoq,to cast a look
участник,ishtirokchi,participant
подруга,do'st (ayol),friend (female)
изба,qishloq uyi / yog'och uy,cottage
голод,ochlik,hunger
замечательный,ajoyib / zo'r,remarkable
временный,vaqtinchalik,temporary
пёс,it (erkak) / nopok,dog
заместитель,o'rinbosar / muovin,deputy / assistant
истина,haqiqat / to'g'rilik,truth
колонна,ustun / kolonna,column / pillar
мгновенно,bir lahzada / darhol,instantly
прикрыть,yopib qo'ymoq,to cover
оборона,mudofaa,defense
скрывать,yashirmoq,to hide / to conceal
поступать,harakat qilmoq / kirmoq,to enter / to act
поразить,hayratga solmoq / urmoq,to strike / to amaze
везти,tashimoq / olib ketmoq,to carry
предстоять,oldinda bo'lmoq,to be in prospect
элемент,element,element
пиджак,pijak / ko'ylak,coat
приносить,olib kelmoq,to bring
убедиться,ishonch hosil qilmoq,to be convinced
телефонный,telefon (sifat),telephone (adj)
крыльцо,ayvon / kirish joyidagi bostirma,porch
отличие,farq,difference
брюки,shim,trousers / pants
исследование,tadqiqot / o'rganish,study
орден,orden / medаl,order / medal
юный,yosh / yigit,young
научиться,o'rganib olmoq,to learn
техника,texnika / uskunа,technology
сойти,tushmoq / ketmoq,to descend
канал,kanal,channel
девчонка,qizcha,girl
горький,aчchiq / achinарli,bitter
крест,xoch / xochsimon,cross
печальный,qayg'uli / g'amgin,sad
теория,nazariya,theory
луч,nur / shualа,ray
молчание,sukut / jimlik,silence
литературный,adabiy,literary
батарея,batareya,battery
устройство,qurilma / jihоz,device
палка,tayoq,stick
тащить,surtmoq / sudramoq,to drag
фонарь,fonar / chiroq,lamp
лесной,o'rmon (sifat),forest (adj)
естественный,tabiiy,natural
контроль,nazorat / boshqaruv,control
крутой,tiklik / qiyin,steep
произвести,ishlab chiqarmoq / amalga oshirmoq,to produce
проклятый,la'nati / qarg'algan,cursed
покрыть,qoplаmoq,to cover
глубоко,chuqur ravishda,deeply
страдать,azob chekmoq / qiynalmoq,to suffer
ветка,shox / novda,branch
влияние,ta'sir,influence
разведка,razvedka,reconnaissance
справа,o'ng tomonda,to the right
девять,to'qqiz,nine
польза,foyda / manfaat,benefit
дочка,qizcha / qizim,daughter
надпись,yozuv / bitik,inscription
ненавидеть,nafrat qilmoq / yomon ko'rmoq,to hate
истинный,haqiqiy / chin,true
замолчать,jim bo'lib qolmoq,to become silent
твёрдо,qat'iy / mustahkam ravishda,solidly
склад,ombor,storage
передний,oldingi,front (adj)
север,shimol,north
покупать,sotib olmoq,to buy
печать,matbuot / muhur,press
крестьянин,dehqon,peasant
южный,janubiy,southern
пальто,palto / ustki kiyim,coat
любопытство,qiziqish / qiziquvchanlik,curiosity
тарелка,tovoq,plate
следствие,oqibat / tergov,consequence / investigation
насколько,qancha / qanchalik,how
выбирать,tanlamoq,to select
заранее,oldindan,in advance
семейный,oila (sifat),family (adj)
продолжаться,davom etmoq,to continue
громкий,baland ovozli,loud
подписать,imzolаmoq,to sign
ракета,raketa / uchuvchi o'q,rocket
заняться,shug'ullanmoq,to study / to engage in
завести,boshlаmoq / qo'lga kiritmoq,to get / to start
зарплата,maosh,salary
топор,bolta,axe
убийца,qotil,killer
сообразить,anglаmoq / tushunmoq,to consider / to grasp
сущность,mohiyat,essence
сперва,avvalo / birinchi navbatda,first
одинокий,yolg'iz / tanho,lonely
сохранить,saqlаmoq / muhofaza qilmoq,to preserve
домик,uycha,house
менять,almashtirmoq / o'zgartimoq,to change
запись,yozuv / kiritma,record
пожар,yong'in,fire
ага,aha / xo'p,aha
широко,keng ravishda,wide
указать,ko'rsatmoq / belgilаmoq,to indicate / to point out
спрятать,yashirmoq,to hide
свидетель,guvoh,witness
привычный,odatiy / doimiy,customary
пища,ovqat / taom,food
забота,g'amxo'rlik / tashvish,concern
открытие,kashfiyot / ochilish,discovery
девица,qiz (turmushga chiqmagan),girl
ощущать,sezmoq / his qilmoq,to feel / to experience
специально,maxsus ravishda / ataylab,specially / intentionally
вождь,rahbar / boshliq,leader
одеяло,ko'rpa,blanket
храм,ma'bad / ibodatxona,temple
стучать,taqillatmoq,to knock
сделаться,bo'lib qolmoq,to make
летать,uchmoq,to fly
пассажир,yo'lovchi,passenger
строительство,qurilish,building
поездка,sayohat / safar,trip
рана,yara,wound
верёвка,arqon / ip,rope
погода,ob-havo,weather
двести,ikki yuz,two hundred
валить,yiqitmoq / ag'darmoq,to bring down
паспорт,pasport,passport
привычка,odat / ko'nikma,habit
холм,tepalik / do'ng,hill
сдать,topshirmoq / qaytarmoq,to return
благодаря,rahmat / tufayli,thanks to / owing to
сообщать,xabar bermoq,to let know / to report
подавать,uzatmoq,to give
устать,charchаmoq,to get tired
скрыться,yashirinmoq / g'oyib bo'lmoq,to be hidden
шоссе,shоsse / asфalt yo'l,highway
могучий,qudratli / kuchli,powerful
поворот,burilish / o'zgarish,turning
восторг,hayrat / zavq,delight / enthusiasm
мечта,orzu / arzuyi,dream
кабина,kabina,cab
картошка,kartoshka,potato
уничтожить,yo'q qilmoq / mahv etmoq,to destroy
земной,yerga oid / er yuzi,terrestrial
надоесть,zeriktirmoq / bezor qilmoq,to tire / to pester
